baapiiw'aan	brush dust or
booskat	have a dent
booskdaamkan	have a dimpled
booskdinaa	be a valley
booskgwewe	have a hollow
boosknowe	have dimples in
booskzi	have a dent
bootaagan	mill mortar
bootaagnaatik	pestle
bootsan	boot
booz'aa	give smb a
booz'igon	be stung by
booz'iwemgat	sting of a
booz'oode	crawl aboard a
boozaande	be a deep
boozaanza	be a deep
boozbiza	drive onto a
boozhoo	Hello Greetings
boozi	board a vehicle
bsaabmaa	mistake smb seen
bsaabndaan	mistake sth seen
bsaan'kaan	ditch
bsadnaa	be a valley
bsagaak	board plank
bsakmigaa	be a depression
bsan'kide	be on fire
bsan'kiza	have a chimney
bsan'kizge	cause a chimney
bshaasginaa	scold smb severely
bshagii	have ones foreskin
bshagiibinaa	pull smbs foreskin
bshagiigbinaa	skin sth an
bshagiish-dbikat	be pitch black
bshagiishbikat	be pitch black
bshagiishkaabi	see black have
bshagiishkbiikte	be dark in
bshagiishkbikat	be dark out
bshagjiit	jerk obnoxious person
bshagnagek'aan	peel the bark
bshagnagekwaa	peel the bark
bshagnagekwe	peel bark
bshagzi	be a jerk
bshakiish-dbikat	be pitch black
bshanzhe'aan	strap sth whip
bshanzhe'gan	strap whip
bshanzhe'ganeyaatik	whipstock
bshanzhegan	strap whip
bshanzhewaa	strap smb whip
bshanzhe'ganaatik	whipstock
bshanzhe'ge	strap whip
bshanzhegewaasin	blow so hard
bshazhewaa	strap smb whip
bshig'aan	have sth held
bshigbidoon	drop sth accidentally
bshigbinaa	drop sth an
bshigboodoon	miss sth in
bshigboonaa	miss sth an
bshigdabi	miss ones seat
bshigendaagot	be likeable be
bshigendaagzi	be likeable be
bshigendaan	like sth find
bshigenmaa	like smb find
bshigganaamaa	swing at sth
bshigganaandaan	miss sth in
bshigiish-dbikat	be pitch black
bshigkamii	have ones foot
bshigkamiise	have ones foot
bshigkodaan	miss sth in
bshigkonaa	miss sth an
bshigmaa	miss in biting
bshignaa	drop sth an
bshignaan	drop sth accidentally
bshignamaakwii	have ones grip
bshigndaan	miss in biting
bshignemaa	have sth an
bshignendaan	have sth slip
bshigshimaa	miss in trying
bshigshkaan	miss in kicking
bshigshkawaa	miss in kicking
bshigsidoon	miss in trying
bshigwaa	have sth held
bshigwaadendam	think sinful thoughts
bshigwaadzi	lead a life
bshigwaakwaadaan	graze sth shooting
bshigwaakwaanaa	graze sth an
bshigwaandwese	have ones foot
bshigzhaan	miss sth in
bshigzhwaa	miss sth an
bshiibnaa	skin sth an
bshiidooskneshin	scrape ones elbow
bshiigaadeshin	scrape ones leg
bshiigdigweshin	scrape ones knee
bshiijaaneshin	scrape ones nose
bshiin'keshin	scrape ones arm
bshiingweshin	scrape ones face
bshiinjiishin	scrape ones hand
bshizhewaa	strap smb whip
bshkidaashkshin	lean over something
bshkobdoon	pluck sth pull
bshkobiiswaa	dehair sth an
bshkobiiyebnaa	pluck feathers from
bshkobiiyeshkaa	lose fur molt
bshkobjige	husk corn
bshkobnaa	pluck sth an
bshkodnaa	be barren be
bshkojiibnaa	pluck feathers off
bshkojiizhge	shear an animal
bshkojiizhwaa	shear sth an
bshkonaage	miss with a
bshkonaajge	miss with a
bshkonaan	miss in shooting
bshkondbe	be bald
bshkondbebnaa	pull smbs hair
bshkondbeshkaa	go bald lose
bshkonwaa	miss in shooting
bshkoshkaa	come off of
bshkoshkaa	come off of
bshkozhaan	cut sth mow
bshkozhgan	mower
bshkozhge	cut grass cut
bshkozhmawaa	cut grass for
bshkozi	be featherless be
bshkwaakwe'ge	clearcut deforest
bshkwaan'kweshkaa	go bald lose
bshkwegaans	condom
bshkwegin	leather piece of
bshkwegni-biiskawaagan	leather coat
bsidyegnaamaa	spank smb
bsidyeshkwaa	kick smb in
bsijii'aan	hit a foul
bsijiignaamaa	graze smb in
bsijiignaandaan	graze sth in
bsijiishkwenh	killdeer kind of
bsikaage	have a car
bsikaan	bump into sth
bsikwaa	bump into smb
bsikwebzowin	halo
bsimsadeshkwaa	hit smb in
bsishkawaa	hit smb in
bsitaan	be offended by
bsitam	be offended by
bsitwaa	be offended by
bskaabaadgaa	swim back wade
bskaabaadge	swim back wade
bskaabaashi	sail back
bskaabaasin	sail back
bskaabba'we	turn back to
bskaabbagza	jerk back
bskaabbatoo	run back
bskaabbide	come back come
bskaabbiza	come back drive
bskaabganaamaa	hit sth an
bskaabganaandaan	hit sth back
bskaabii	come back get
bskaabkozhwe	paddle back
bskaabnaa	return sth an
bskaabnaan	return sth as
bskaabnaashkaan	send sth back
bskaabnaashkawaa	send sth an
bskaabnaazhkaan	send sth back
bskaabnaazhkawaa	send sth an
bskaabwebnaa	throw sth an
bskaabwebnaan	throw sth back
bskaabwebnamwaa	throw something back
bskaabwidmawaa	bring something back
bskaabwidoon	bring sth back
bskaabwinaa	bring sth an
bskaaknenjgan	kindling
bskaaknese	emit a spark
bskagnaamaa	bend sth an
bskagnaandaan	bend sth by
bskane	catch fire ignite
bskane	catch fire ignite
bskane'aa	cause sth an
bskanebdoon	turn sth on
bskanebjige	turn on lights
bskanebnaa	turn sth an
bskanepwaa	light up a
bskanepwaagne	light up pipe
bskanesdoon	strike a match
bskanetoon	cause sth to
bskaneyaashi	flare up in
bskibdoon	bend sth with
bskibnaa	bend sth an
bskigaadebi	sit with ones
bskigaadeni	bend ones leg
bskigaadetaa	bend ones leg
bskigwaadaan	hem sth up
bskigwaanaa	hem sth an
bskiignaa	fold sth an
bskiignaan	fold sth of
bskiigshin	lie folded
bskiigsin	lie folded
bskikaa	become bent bend
bskikaa	become bent bend
bskin'keni	bend ones arm
bskin'ketaa	bend ones arm
bskinaa	bend sth an
bskinaan	bend sth fold
bskisdoon	arrange sth so
bskishmaa	arrange sth an
bswepgot	permeate something of
bswepgozi	permeate something of
btaakiingweshin	bump ones face
btaakiingweshkwaa	bump smb in
btaakninjiishin	bump ones hand
btaakshimaa	bump sth an
btaakshin	bump against something
btaakshkaage	collide with somebody
btaakshkaan	bump into sth
btaakshkawaa	bump into smb
btaaksin	bump against something
btaakw'aan	hit sth with
btaakwaa	hit sth an
btaakwaan	hit sth with
btaakzhe	be naked
btaakzideshin	hit ones foot
btagnaamaa	hit smb accidentally
btagnaandaan	hit sth accidentally
btagndamaadwak	get into an
btamaa	ingest sth an
btandaan	ingest sth accidentally
btangbide	change course turn
btangbiza	change course turn
btashkaanzhe	common snipe a
btashkwe	pick the wrong
btazhe	be naked
bte	give off smoke
btinaa	take sth an
btinaan	take sth in
bwa'aan	harvest sth with
bwa'aan	dust sth off
bwa'gan	ricegathering place
Bwa'ganing	ricegathering place near
bwaa-	lest not so
bwaadaan	dream about sth
bwaajge	dream have a
bwaanaa	dream about smb
bwaanwi'aa	fail to budge
bwaanwibdoon	fail to budge
bwaanwibnaa	fail to budge
bwaanwitoon	try in vain
bwaatmaach	gradually
bwaayaak	white ash type
bwan'kin'ge	clean stove pipes
bwen	roast something put
bwen'ge	work up a
bweyaaknige	have sweat dripping
bweza	perspire sweat
bwi	propeller
bwi	paddle
bwiins	fan implement used
bwiins	small fan
bzaan	quietly
bzaan	burdock a type
bzaanaagmisin	be calm of
bzaanaakshin	lie still lie
bzaanaakwaa	be still of
bzaanbi	sit still
bzaandabi	sit still
bzaandooneshin	stop yapping
bzaangaabwi	stand still
bzaani-	quietly in the
bzaanshin	lie still lie
bzaante	be quiet of
bzaan-yaa	be quiet be
bzagde	be cooked to
bzagjiishkwigaa	be sticky mud
bzagninjii	have sticky hands
bzagninjiishin	get something sticky
bzagsagaa	be sticky 
bzagwaa	be sticky
bzagwaakmin	white sugar plum
bzagwegat	be sticky of
bzagwegzi	be sticky of
bzagwii	get up rise
bzagwiindaakji	be forced to
bzagwiindkishin	get up and
bzagwiindoode	crawl out of
bzagwiinjgwaashkni	jump up to
bzagwiinjnaashkawaa	order smb to
bzagwiinse	jump up quickly
bzagzi	be sticky
bzagzideshin	get something sticky
bzangwaabgaa	dance with ones
bzangwaabi	close ones eyes
bzangwaabshkaa	be unable to
bzazi	be clumsy be
bzhib'aan	spear sth stab
bzhibwaa	spear sth an
bzhidoonh	sheepshead a kind
bzhiki	cow
bzhikii-zowaanak	oxtail
bzhikiins	calf
bzhikiiwgamik	cow shed
bzhindoon	endanger sth threaten
bzhine	escape harm narrowly
bzhinnaa	chastise smb give
bzhishgokmigaa	be empty of
bzhishgon	be empty of
bzhishgonaa	empty sth an
bzhishgonaan	empty sth
bzhishgonjii	be emptyhanded
bzhishgoshin	lie empty sit
bzhishgosin	lie empty sit
bzhishgozi	be empty
bzhishgwaakte	be empty of
bzhishik	just like 
bzhishin	be emptyhanded
bzhiw	lynx
bzigwii	get up rise
bzigwiindaakji	be forced to
bzigwiindkishin	get up and
bzigwiindoode	crawl out of
bzigwiinjbagza	get up quickly
bzigwiinjgwaashkni	jump up to
bzigwiinjnaashkawaa	order smb to
bzigwiinse	jump up quickly
bzin	get something in
bzindaage	listen to discussions
bzindaajge	listen to discussions
bzindaan	listen to sth
bzindam	listen  2
bzindwaa	listen to smb
bzinshe	listen in
bzobnaakwaan	nit comb
bzobzo	get caught on
bzogeshin	stumble trip
bzogeshkwaa	trip smb
bzogshkaa	be sticky
bzogwebwaa	trip smb with
bzoshkaa	stumble trip
bzwaabi	have weakened eyesight
bzwaabiisdoon	wind sth around
bzwaabiishkaan	trip over sth
bzwaabiishkwaa	trip over sth
bzwebshkaan	trip on sth
bzwebshkawaa	trip on sth
bzwendaan	think sth unfit
bzwenmaa	think sth an
chaakiidyebtoo	run with a
chaakiidyeshin	limp
chaakiishin	limp
chaashin	limp
chaawse	walk with a
chaawsebtoo	run lame
chaawshin	limp
chigaade	be placed somewhere
chigaaza	be placed in
Crossdeyaatik	Cross Village Michigan
Da'ooganing	South Bay Ontario
da-	shall will
daa	live in a
daa-	can could ought
daabaan	car wagon
daabaan	car wagon
daabaan'gamik	garage
daabaanaatik	runner on a
daabaanens	hand sled
daabshkaa	have convulsions have
daabshkaa	shrink
daabshkoog'aan	hew sth square
daabyaan	car wagon
daadbidoon	pull on sthand
daadbinaa	pull on sthan
daadboodoon	saw on sth
daadboonaa	saw on sth
daadkogwaade	be sewn together
daadkogwaajgan	quilt
daadkogwaaza	be sewn together
daadshimaa	drop sth an
daadshkaan	cause sth to
daadshkawaa	cause sth an
daadsidoon	drop sth and
daadzhaan	cut sth and
daadzhwaa	cut sth an
daagnadaag	really
daajgo'on?	a type of
daakaadaan	steer sth
daakaajgan	rudder
daakaan	steering wheel
daakaanaa	steer sth an
daakan	rudder
daake	steer drive
daakewnini	driver helmsman ships
daamaa	sell something to
daan	refer to sth
daang'aan	touch sth with
daangaabiisin	touch something of
daangbidoon	stroke sth
daangbinaa	stroke smb
daangga'aan	feel around for
daanggawaa	feel around for
daanggwewenaa	touch smb on
daanggwiiwenaa	touch smb on
daangkiishin	touch the ground
daangkiisin	touch the ground
daangmaa	feel sth an
daangnaa	touch smb
daangnaan	touch sth
daangnamwaa	touch something belonging
daangndaan	feel sth with
daangshin	touch something of
daangshkaan	touch sth with
daangshkamwaa	touch something belonging
daangshkawaa	touch sth an
daangshkoodmawaa	brush something against
daangshkoodoon	brush something against
daangshkoonaa	brush something against
daangsin	touch something
daangwaa	touch sth an
daangzidenaa	touch smbs foot
daangzideshkwaa	touch smbs foot
daanzhebdoon	dim the lights
daanzhebjige	dim the lights
daanzhebnaa	dim the lights
daanzhen'ge	dim the lights
daanzhenaa	dim the lights
daanzhenaan	dim the lights
daanzhewebdoon	dim the lights
daanzhewebjige	dim the lights
daanzhewebnaa	dim the lights
daanzhewen'ge	dim the lights
daanzhewenaa	dim the lights
daanzhewenaan	dim the lights
daapbiza	have convulsions have
daapenmaa	accept smb take
daapgaadebnigo	get a leg
daapgaadeshkaa	get a leg
daapgwaadaan	pick sth up
daapgwaanaa	pick sth an
daapnaa	pick sth an
daapnaan	pick sth up
daapnamoo'aa	get smb to
daapnamwaa	take something for
daapnige	pick things up
daapnigenaa	get smb to
daapsen	snatch something up
daapshkaa	have convulsions have
daapshkadebnigo	get cramps have
daapzideshkaa	get a cramp
{n}daas	sock stocking 
daashk'aan	split sth with
daashk'ose	chop wood split
daashkaabiig'ige	have ones hair
daashkaabiig'igeyaa	part smbs hair
daashkaabkaa	have a crack
daashkaakw'aan	split sth of
daashkaakwaa	split sth an
daashkaakwaan	see daashkaakwaan
daashkaakzaan	split sth with
daashkaakzwaa	split sth an
daashkaasdoon	throw a curveball
daashkbidoon	split sth with
daashkbinaa	split sth an
daashkboodoon	saw sth in
daashkboojgan	saw sawmill
daashkboojge	saw ripsaw
daashkboonaa	saw sth an
daashkdewe'aa	break smbs heart
daashkdewewendam	be brokenhearted
daashkdiiyaandaan	split sth from
daashkga'aan	split sth with
daashkga'gan	wedge
daashkganaamaa	split sth an
daashkganaandaan	split sth by
daashkga'se	chop wood split
daashkgawaa	split sth an
daashkiigaashi	be ripped in
daashkiigaasin	be ripped in
daashkiigbidoon	rip sth in
daashkiigbinaa	rip sth an
daashkiignaa	split sth an
daashkiignaan	split sth of
daashkjii'aan	split sth in
daashkjiignaamaa	split sth an
daashkjiignaandaan	split sth by
daashkjiikdaan	cut sth in
daashkjiiknaa	cut sth an
daashkjiisdoon	split sth by
daashkjiishkaan	split sth by
daashkjiishkwaa	split sth an
daashkjiishmaa	split sth an
daashkjiiwaa	split sth an
daashkkamgise	split from a
daashkkodaan	split sth in
daashkkonaa	split sth an
daashkmaa	split sth an
daashknaa	divide sth an
daashknaan	divide sth in
daashkndaan	split sth by
daashknemaa	split sth an
daashknendaan	split sth in
daashkse	split in two
daashkse	split in two
daashkshimaa	split sth an
daashkshkaan	split sth by
daashkshkawaa	split sth an
daashksidoon	split sth by
daashkwaa	split sth an
daashkzaan	split sth by
daashkzhaan	split sth in
daashkzhwaa	split sth an
daashkzwaa	split sth an
daaskaan	second sth of
daaskawi	keep good company
daataagninjiishkoonaa	drop something on
daataagninjiishkwaa	step on smbs
daataagzideshkoonaa	drop something on
daataagzideshkwaa	step on smbs
daatbaan'gidoon	speak rapidly talk
daatganaabi	look up
daatganaabmaa	look up at
daatganaabndaan	look up at
daatgijiigaabwi	stand with ones
daatgikweni	tilt ones head
Daawaa	Odawa Indian Ottawa
daawe	sell sell things
daawegamik	store trading post
daawen	sell something
daawenini	male store clerk
daaweniniikwe	female store clerk
daawewgamik	store trading post
daawewnini	male store clerk
daawmaa	borrow something from
daawnabnaa	open smbs mouth
daawnagoojin	have ones mouth
daawnge	borrow rent
daawngen	borrow something
daawni	open ones mouth
daayaa	come out of
daayaapne	drown
dagaabaawdoon	soften sth by
dagaabaawe	soften from being
dagaabaawe	soften from being
dagaabaawnaa	soften sth an
dagat	be damp
daggwiinjdoon	soak sth to
daggwiinjmaa	soak sth an
dagoode	fall
dagoojin	fall
dakiimi	have land own
dam'aa	keep smb busy
dami-	be busy with
damiikaan	be busy with
damiikwaa	be busy with
damna	play games
damnan	play with something
damnawaagan	doll
damnawaagan	doll
damnawin	toy
damtaa	be busy
damzi	be busy
danaamtaan	inhale sth particulate
dap	species of willow
dash	and so and
{n}dasnaake	my brisket of
datgaagmin	blackberry thimbleberry
Datgaagmin-giizis	Blackberry Moon August
datgaagon	driveshaft  2
dawemaawndiwak	be brother and
dawgomek	salamander
dawkaani	have livestock own
dayi	have a dog
dba'aan	pay for sth
dba'gaans	minute  2
dba'gaans	hour
dba'gan	hour  2
dba'ge	pay
dba'genshiish	inchworm
dba'gesemgat	break even meet
dba'getmawaa	measure something for
dba'giiswaagan	clock watch timepiece
dba'giiswaan	clock
dba'giiswaan	hour
dba'giiswaanens	watch wristwatch
dba'mawaa	pay smb 
dbaabiignaa	measure the length
dbaabiignaan	measure the length
dbaabiishkoodoon	weigh sth
dbaabiishkoojgan	pound  2
dbaabiishkoojge	weigh things
dbaabiishkoonaa	weigh sth an
dbaabmaa	check on smb
dbaabndaan	check on sth
dbaabndakwe	forecast weather look
dbaabndamaaza	 look out
dbaabndamwaa	check on something
dbaabnjigewnini	field umpire
dbaaddaan	talk about sth
dbaadendaan	care for sth
dbaadenmaa	care for smb
dbaajma	narrate report talk
dbaajmaa	talk about smb
dbaajmatwaa	tell smb about
dbaajmoo-mzin'igan	newspaper
dbaajmowin	narrative story
dbaajndaan	talk about sth
dbaaknaa	judge smb try
dbaaknige	determine what to
dbaaknigeniniikwe	female judge
dbaaknigewnini	male judge
dbaakshin	be on a
dbaaksin	be on a
dbakaadaan	survey sth
dbakii	survey land
dbakiinini	surveyor
dbas'ooza	be suspended low
dbasaa	be low in
dbasaadaan	measure the length
dbasaanaa	measure the length
dbasdoondneyaa	be lowheeled have
dbasendiza	be humble think
dbasenmaa	think lowly of
dbasgoode	hang low
dbasgoojin	hang low
dbashish	low down below
dbasshkaa	be low grass
dbaszi	be low in
dbawaa	pay for sth
dbazii	duck
dbendaagot	belong somewhere go
dbendaagzi	belong somewhere 
dbendaan	own sth
dbendaaswin	property
dbendiza	be free be
dbenmaa	own sth an
dbewgendaan	be mindful of
dbewgenmaa	be mindful of
dbi	where wherever dubitative
dbik-	night
dbik-giizis	moon
dbikat	be dark be
dbikoong	last night
dbikshin	have night fall
dbinnjaamaa	measure sth an
dbinnjaandaan	measure sth in
dbinooshin	take shelter from
dbinooshmaa	put sth an
dbinwaa	be sheltered from
dbishkaa	have a birthday
dbishkoo	as like
dbishkoose	mark a certain
dbiyiidok	wherever I dont
dbizdaamaa	measure sth an
dbizdaandaan	measure sth in
dbizhaan	measure sth
dbizhge	measure
dbizhwaa	measure sth an
dboosk-naagan	bowl
dboosko-yaa	be deep of
ddaaknagweyaa	be shortsleeved have
ddaakoogaade	have short legs
ddaakoon'ke	have short arms
ddaakoozde	have short feet
ddakoozde	have feet of
ddakwaakdiiyewji	have cold rear
ddakwaakninjiiwji	have cold hands
ddakwaakzidewji	have cold feet
ddanaaskone	shine away keep
ddanoojtoo	hang around loiter
ddanwewe	play away keep
ddanzi	stay put somewhere
ddibew	shore riverbank near
ddibewe	go along the
ddibewebtoo	run along the
ddibewebza	drive along the
ddibewemat	follow the shore
ddibeweyaak'om	walk along the
dditbijiinaa	roll sth an
dditbijiinaan	roll sth 
dditbijiise	roll involuntarily
dditbijiise	roll 
dditbijiiyebnaa	roll sth an
dditbijiiyebnaan	roll sth to
de-	fair amount moderate
de-	be able to
de-pii	fair distance considerable
deb'aa	do something apt
debaabmaa	see smb at
debaabminaagot	be visible in
debaabminaagwat	be visible in
debaabminaagzi	be visible in
debaabndaan	see sth at
debaabndang	umpire
debaakmajiishkaan	have sth fit
debbidmawaa	catch something for
debbidoon	catch sth get
debbidwaa	catch something for
debbinaa	catch sth an
Debenjget	Creator God
debgenmo	have had enough
debgwaam	get enough sleep
debjiiyaabaagwe	be filled to
debkwaabiigse	reach somewhere of
debkwaabiigse	reach somewhere of
debmaa	say something of
debnaa	get sth an
debnaabaagwe	have ones thirst
debnaak	carelessly negligently sloppily
debnaan	get sth receive
debnaknooza	have smoked enough
debnakza	have smoked enough
debnawaa	reach sth an
debnemaa	have enough of
debnendaan	have enough of
debnige	reach somewhere be
debse	be enough suffice
debse	be enough suffice
debsen	have enough of
debshkaan	fit sth
debshkawaa	fit sth an
debsinii	be full from
debtaagot	be heard in
debtaagwat	be heard in
debtaagzi	be heard in
debtaan	hear sth in
debtawaa	hear smb in
debwe	be right speak
debwe'aa	give in to
debwemgat	be true
debwetaan	believe sth
debwetam	believe
debwetwaa	believe smb
debwewaashkaa	be audible in
debwewdam	be heard calling
debwewe	sound in the
debwewe	sound in the
debwewegneshin	be heard ticking
debwewenaama	be heard breathing
debwewendaagot	be credible be
debwewendaagzi	be considered a
debwewendaan	believe in sth
debwewendam	believe
debwewenmaa	believe in smb
debweweshin	ring in the
debwewesin	ring in the
debwewnagat	be true of
debweyaan'gidoon	be heard talking
debzi	be so fortunate
detebkinaak	softshell turtle
dekaashiinh	tourist vacationer
dekwendam	be under mental
dende	bullfrog
dendemo	croak like a
dendenh	bullfrog
desbiwaagan	chair
desgaan	deck of a
deshkan	antler horn
desiigbidoon	stretch sth out
desiigbinaa	stretch sth an
desiignaa	spread sth an
desiignaan	spread sth out
desiigsa'aa	throw sth an
desiigshimaa	arrange sth an
desiigsidoon	arrange sth so
desiigwebnaa	throw sth an
desiigwebnaan	throw sth down
desiikwaan	broadbrimmed hat widebrimmed
desnaagan	plate platter
detbisenh	tire wheel of
detebgwiinde	bob float
detebgwiinjin	bob float
detese	rustle of leaves
detesiigtawge	have flappy ears
detesiigzidegaa	dance with ones
detewaakwige	knock on door
detewganaamaa	thump sth an
detewganaandaan	thump sth repeatedly
detewjii'aan	thump sth repeatedly
detewjiiwaa	thump sth an
dewaabiiggaade	have ones legs
dewaabiigmasde	have a sore
dewaabiigndibe	have an aching
dewaabiignike	have ones arms
dewaabiigwewe	have ones neck
dewaakgane	have ones bones
dewaapne	have heart disease
dewe	sense missing
dewe'gan	drum
dewe'gan	drum
dewe'ganaatik	drumstick
dewe'ge	drum
dewgwewe	have ones neck
dewgwiiwe	have ones neck
dewjii'aan	thump sth
dewjiignaamaa	thump smb
dewjiignaandaan	thump sth
dewjiishin	land on something
dewjiiwaa	thump sth an
dewkaaknegnaamaa	strike smb thumping
dewkaaknewaa	thump smb in
dewkwe	get a headache
dewkwendbeyaasa	get a headache
dewkweshkaagon	be given a
dewmaa	worry about smbs
dewmin	strawberry
Dewmin-giizis	Strawberry Moon June
dewndaan	worry about sth
dewnike	have ones arms
dga	Come on
dgandaan	taste sth
dgi	have something wrong
dgo	exist naturally in
dgo-	along with others
dgobde	fly off with
dgobdoon	tie sth with
dgobi	sit with others
dgobnaa	tie sth an
dgobza	drive off with
dgogaabwi	stand with others
dgogi	grow with others
dgogin	grow with others
dgojii'aan	mix sth in
dgojiinaa	hold sth an
dgojiinaan	hold sth along
dgojiiwaa	mix sth an
dgoksaan	solder sth
dgoksige	solder
dgokswaa	solder sth an
dgomaa	eat sth an
dgon'ge	include things in
dgonaa	include sth an
dgonaan	include sth as
dgondaan	eat sth along
dgopde	be tied in
dgopdoon	tie sth with
dgopnaa	tie sth an
dgopza	be tied in
dgoshin	arrive reach a
dgoshnoomgat	arrive
dgosin	be included with
dgow	wave of water
dgowdoon	carry sth along
dgowebnaa	throw sth an
dgowebnaan	throw sth along
dgownaa	carry sth along
dgozaan	cook sth along
dgozwaa	cook sth an
dgwaadmawaa	allege that smb
dgwaagi	be autumn be
dgwaakde	burn with other
dgwaakza	burn with other
dgwaapnemaa	quarrel with smb
dgwaawnginaan	include sth as
dgwamwaa	eat sth an
dgwandaan	eat sth along
dibaakaang	in the woods
dibaakiing	in the woods
dibiiiidik 	I dont know
diindiisiinh	bluejay
dikmek	whitefish
dikmi	have fleas have
dkinaagan	cradleboard
diksin	curdle
dimne'aan	catch up to
dimne'ge	catch up to
dimnewaa	catch up to
dis'aa	visit smb of
disge	colour dye things
disiiyaap	umbilical cord
diyaawi	be an ass
dkaa	be cold to
dkaabaawe	be cool from
dkaabaawza	cool off in
dkaabkat	be cold of
dkaabkizi	be cold of
dkaaboo	cold water
dkaagmi	be cold of
dkaagmisdoon	chill sth cool
dkaagmishkooza	cool off with
dkaakninjiiwji	have ones hands
dkaanmat	blow cold be
dkaashi	be mildly inebriated
dkaashiikmigat	be a party
dkaashiiwgamik	tourist lodge
dkaasjige	let the cold
dkaawgan	be cold in
dkaawganeyaashi	get chilled by
dkajdoon	get sth infected
dkaji	catch a cold
dkajmaa	cause smb to
dkajwin	cold flu pneumonia
dkakmigaa	be cold of
dkam'aa	cross go across
dkam'aadaan	cross over on
dkam'aanaa	cross over on
dkamaabiigaashi	dash across streak
dkamaabiigshin	lie across of
dkamaabiigsin	lie across of
dkamaabno	cross in a
dkamaadgaa	swim across wade
dkamaakse	swing across a
dkamaakshimaa	lay sth an
dkamaakshin	lie across of
dkamaaksidoon	lay sth across
dkamaaksin	lie across of
dkamaakw'om	cross a forest
dkamaakwese	fall across of
dkamaashi	blow across be
dkamaasin	blow across be
dkamaawdaaso	move things across
dkamaawdoon	haul sth across
dkamaawnaa	haul sth an
dkambatoo	run across
dkamboowe	escape to other
dkamgwaashkni	jump across
dkamii	cross go across
dkamkana	across the road
dkamkomii	cross the ice
dkamoode	crawl across
dkamoodegzi	move ones residence
dkamoojiige	take a shortcut
dkamoojiigebtoo	take a shortcut
dkamse	walk across
dkamwidoon	carry sth across
dkamwinaa	carry sth an
dkate	be cold of
dkawaasnenjgan	flashlight
dkeyaa	be cool of
dkibi	spring of water
dkibiigji	get cold all
dkidyeshin	have ones rear
dkigaadeyaashi	get cold in
dkigweweyaashi	get cold in
dkiingwe	have a cold
dkijiiyaabaawe	get cold from
dkijiiyaashi	get cold from
dkindbeyaabaawe	have ones head
dkindbeyaashi	get cold in
dkingshi	doze off
dkinjii	have cold hands
dkinjiiwji	have ones hands
dkinjiiyaabaawe	have ones hands
dkisdoon	cool sth leave
dkishin	cool get cold
dkishmaa	cool sth an
dkisin	cool get cold
dkizde	have cold feet
dkizdeyaabaawe	have ones feet
dkizi	be cold to
dkobde	be tied up
dkobdoon	tie sth
dkobjigan	tieon skates 
dkobjige	tie ones shoelaces
dkobnaa	tie sth an
dkobza	be tied up
dkokaadaan	step on sth
dkokaadmawaa	step on something
dkokaanaa	step on sth
dkokii	take a step
dkomaa	bite smb bite
dkon'keshkooza	be caught by
dkonaa	hold smb off
dkonaan	hold sth off
dkondaan	bite sth bite
dkonge	bite things bite
dkonjgan	pliers tweezers
dkonjge	bite things
dkonmawaa	seize something belonging
dkonwe	make an arrest
dkonwewgamik	jail
dkonwewnini	policeman sheriff
dkonwewniniikwe	policewoman
dkooboodoon	saw sth short
dkooboonaa	saw sth an
dkoogwaadaan	sew sth short
dkoogwaanaa	sew sth an
dkoojiiyaa	be short of
dkookdaan	cut sth short
dkooknaa	cut sth an
dkoonaa	shorten sth an
dkoonaan	shorten sth make
dkoonmawaa	shorten something for
dkooyaa	be short
dkoozi	be short in
dkopjigan	bundle
dkwaa	be short in
dkwaa'aa	make sth an
dkwaabii'aa	make sth an
dkwaabiigat	be short of
dkwaabiiggaade	have short legs
dkwaabiiggaadeyaa	be short in
dkwaabiigkodaan	cut sth short
dkwaabiigkonaa	cut sth an
dkwaabiignaa	make sth an
dkwaabiignaan	make sth short
dkwaabiignamwaa	shorten something stringlike
dkwaabiigzi	be short of
dkwaabiitmawaa	shorten something stringlike
dkwaabiitoon	make sth short
dkwaakboodoon	cut sth short
dkwaakboonaa	cut sth an
dkwaakot	be short of
dkwaakwat	be short of
dkwaakzi	be short of
dkwaan'kwe	have short hair
dkwaatmawaa	shorten something for
dkwaatoon	make sth short
dkwamaa	bite smb bite
dkwandaan	bite sth bite
dkwanjge	bite things
dkweg'aa	make sth an
dkwegat	be short of
dkweggwaadaan	sew sth to
dkwegkodaan	cut sth short
dkwegkonaa	cut sth an
dkwegtoon	make sth short
dkwegzi	be short of
dkwegpiza	wear a short
dkwiindgwaanh	be shallow of
dkwiindmaa	be shallow of
dnaabooza	drink at a
dnaaddaan	relate sth being
dnaagen	use something as
dnaajma	relate something pertaining
dnaajmaa	relate smb being
dnaan'gidoon	speak talk give
dnaan'gidooni	speak talk give
dnaan'gidoonwin	talk gossip
dnaapi	laugh at a
dnaatesin	be broadcast from
dnakii	live on a
dnakiiwin	town residence settlement
dnakmigat	happen at a
dnakmigzi	play in a
dnakmigziwin	game activity
dnawa	kind sort
dnawa	kind sort
dnendaan	expect sth expect
dnenmaa	expect smb expect
dngamaa	taste sth an
dngishkaage	kick out at
dngishkaan	kick sth
dngishkge	kick  2
dngishkmawaa	kick something belonging
dngishkwaa	kick smb
dnide	be cooking in
dnikaa	take a certain
dnin	own something possess
dningwaam	sleep in a
dningwaamo	sleep in a
